Site,Species ,Total Number of Seedlings,Dominant Canopy Cover,% Living,Water Depth (cm),Marine Debris Y/N,Notes 
M1,N/A,,100% RHMA,100,18.5,Y,Healthy living fringe
M1,,,,,24.2,,
M1,,,,,33.7,,
M2,N/A,,100% RHMA,100,81.3,N,Healthy
M2,,,,,83.8,,
M2,,,,,84.3,,
M3,RHMA,,100% RHMA,90,3.5,Y,"Very low tide, Iguana browsing on majority"
M3,RHMA,,,,2.5,,
M3,RHMA,,,,2.4,,
M4,RHMA,,100% RHMA ,50,22.7,Y,
M4,RHMA,,,,15.3,,
M4,RHMA,,,,20.9,,
M5,RHMA,,100% RHMA ,100,16.5,Y,SYFI on roots
M5,RHMA,,,,9.8,,THTE in prop roots
M5,,,,,10.4,,
M6REAL,RHMA,,100% RHMA,100,49.4,Y,Healthy fringe
M6REAL,RHMA,,,,15.5,,
M6REAL,RHMA,,,,25.6,,
SW1,RHMA,,100% RHMA ,70,34.5, N,
SW1,RHMA,,,,8.4,,
SW1,RHMA,,,,0,,
SW2,RHMA,,100% RHMA ,100,12.5,Y,
SW2,RHMA,,,,14.4,,
SW2,RHMA,,,,16.3,,
SW3,N/A,,100% RHMA ,100,58.4,N,
SW3,,,,,52.7,,
SW3,,,,,57.5,,
SW4,RHMA,,100% RHMA ,100,32.1,N,Unrooted branches with drop roots extend 4m over rooted shoreline begins. Floating props in the water
SW4,,,,,12.4,,
SW4,,,,,29.1,,
SW5,N/A,,100% RHMA ,100,15.4,Y,Healthy fringe
SW5,,,,,21.4,,
SW5,,,,,22.9,,
SW6,N/A,,100% RHMA ,100,34.4,N,Puffy RHMA fringe
SW6,,,,,41.4,,
SW6,,,,,47,,
SE1,,,100% RHMA ,100,39.5,Y,
SE1,,,,,40.1,,
SE1,,,,,39.5,,
SE2,N/A,,100% RHMA ,100,32.8,Y,
SE2,,,,,20.4,,
SE2,,,,,11.5,,
SE3,N/A,,100% RHMA ,100,60.2,Y,
SE3,,,,,30.7,,
SE3,,,,,35.1,,
SE4,N/A,,100% RHMA ,100,28.4,,
SE4,,,,,18.7,,
SE4,,,,,19.4,,
SE5,N/A,,100% RHMA ,100,83.2,,
SE5,,,,,62.2,,
SE5,,,,,64.4,,
SE6,RHMA ,,,,21.9,N,Blue crabs in plot 
SE6,,,,,10.7,,
SE6,,,,,12,,
TW1,N/A ,,100% RHMA ,100,118.4,N,Healthy
TW1,,,,,106.1,,
TW1,,,,,99.8,,
TW2,N/A,,100% RHMA ,100,92.7,N,Healthy
TW2,,,,,76.8,,
TW2,,,,,71.5,,
TW3,RHMA ,,100% RHMA ,98,105.4,,
TW3,,,,,24.5,,
TW3,,,,,38.1,N,
TW4,RHMA,,100% RHMA ,100,3.5,,
TW4,,,,,8.5,,
TW4,,,,,138.5,,
TW5,N/A,N/A,100% RHMA ,100,18.9,N,Healthy 
TW5,,,,,11.4,,
TW5,,,,,26.9,,
TW6,RHMA,1,100% RHMA,90,7.5,N,Healthy
TW6,,,,,14.2,,
TW6,,,,,23.1,,
TE1,RHMA,1,100% RHMA ,100,18.8,,Healthy 
TE1,,,,,19.8,,
TE1,,,,,14.4,,
TE2,N/A,0,100% RHMA ,100,12.4,N,
TE2,,,,,20,,
TE2,,,,,21.7,,
TE3,N/A,0,100% RHMA ,100,36.6,N,
TE3,,,,,34.2,,
TE3,,,,,27.8,,
TE4,RHMA ,4,100% RHMA ,100,32.5,N,15% of plot has canopy cover
TE4,RHMA ,,,,23.4,,
TE4,RHMA ,,,,20.2,,
TE5,N/A,N/A,100% RHMA ,100,46,N,
