Site,Species ,Sappling Height
M1,N/A,N/A
M1,,
M1,,
M2,N/A,N/A
M2,,
M2,,
M3,RHMA,27.5
M3,RHMA,34.6
M3,RHMA,16.2
M3,RHMA,28.2
M3,RHMA,26.5
M3,RHMA,31.8
M3,RHMA,31.2
M3,RHMA,39.3
M3,RHMA,28.4
M3,RHMA,29.2
M3,RHMA,18
M3,RHMA,33.1
M3,RHMA,22.9
M3,RHMA,31.4
M3,RHMA,30.9
M3,RHMA,34.6
M3,RHMA,27.9
M3,RHMA,28.4
M3,RHMA,44.3
M3,RHMA,42.2
M3,RHMA,32.6
M3,RHMA,38
M3,RHMA,40.5
M3,RHMA,37.1
M3,RHMA,39.5
M3,RHMA,28.7
M3,RHMA,27.4
M3,RHMA,31.3
M3,RHMA,32.9
M3,RHMA,38.4
M3,RHMA,46.5
M3,RHMA,44.3
M3,RHMA,37.5
M3,RHMA,39.5
M3,RHMA,41.4
M3,RHMA,43.1
M3,RHMA,47.3
M3,RHMA,36.2
M3,RHMA,39.1
M3,RHMA,45.4
M3,RHMA,46.1
M3,RHMA,26.4
M3,RHMA,20.4
M3,RHMA,26.8
M3,RHMA,28.5
M3,RHMA,44.2
M3,RHMA,40.4
M3,RHMA,39.8
M3,RHMA,49.7
M3,RHMA,34.1
M3,RHMA,31.9
M3,RHMA,44.8
M3,RHMA,37.2
M3,RHMA,36.1
M3,RHMA,28.5
M3,RHMA,19.5
M3,RHMA,45.7
M3,RHMA,37.1
M3,RHMA,45.7
M3,RHMA,37.3
M3,RHMA,32.5
M3,RHMA,36.2
M3,RHMA,59.5
M3,RHMA,45.1
M3,RHMA,43.4
M3,RHMA,31.5
M3,RHMA,31.5
M3,RHMA,37.4
M3,RHMA,33.4
M3,RHMA,34.1
M3,RHMA,48
M3,RHMA,49.3
M3,RHMA,35.4
M3,RHMA,47.1
M4,RHMA,N/A
M4,RHMA,
M4,RHMA,
M5,RHMA,19.9
M5,RHMA,39
M5,,
M6REAL,RHMA,45.5
M6REAL,RHMA,
M6REAL,RHMA,
SW1,RHMA,20.5
SW1,RHMA,41.4
SW1,RHMA,49.2
SW1,RHMA,35.2
SW1,RHMA,44.7
SW2,RHMA,47.8
SW2,RHMA,40.5
SW2,RHMA,47.3
SW3,N/A,N/A
SW3,,
SW3,,
SW4,RHMA,43.9
SW4,,
SW4,,
SW5,N/A,N/A
SW5,,
SW5,,
SW6,N/A,N/A
SW6,,
SW6,,
SE1,,
SE1,,
SE1,,
SE2,N/A,N/A
SE2,,
SE2,,
SE3,N/A,N/A
SE3,,
SE3,,
SE4,N/A,N/A
SE4,,
SE4,,
SE5,N/A,N/A
SE5,,
SE5,,
SE6,RHMA ,35.9
SE6,,
SE6,,
TW1,N/A ,N/A
TW1,,
TW1,,
TW2,N/A,N/A
TW2,,
TW2,,
TW3,RHMA ,49.2
TW3,,
TW3,,
TW4,RHMA,48.9
TW4,,
TW4,,
TW5,N/A,N/A
TW5,,
TW5,,
TW6,RHMA,45.4
TW6,,
TW6,,
TE1,RHMA,43.4
TE1,,
TE1,,
TE2,N/A,N/A
TE2,,
TE2,,
TE3,N/A,N/A
TE3,,
TE3,,
TE4,RHMA ,49.5
TE4,RHMA ,38.1
TE4,RHMA ,45.5
TE4,RHMA ,47.1
TE5,N/A,N/A
TE5,,
TE5,,
TE6,N/A,N/A
TE6,,
TE6,,
BB1,,
BB1,RHMA,44.1
BB1,RHMA,45.2
BB1,RHMA,44.9
BB1,RHMA,49.3
BB1,RHMA,47.2
BB1,RHMA,43
BB1,RHMA,30.2
BB1,RHMA,29.3
BB1,RHMA,49.8
BB1,LARA ,31.4
BB1,LARA ,28.4
BB2,RHMA,49.5
BB2,RHMA,31.1
BB2,RHMA,26.4
BB2,RHMA,28.1
BB2,RHMA,17.2
BB2,RHMA,25.1
BB2,RHMA,36.3
BB2,RHMA,36.4
BB2,RHMA,45.1
BB2,RHMA,24.2
BB2,RHMA,18.3
BB2,RHMA,21.1
BB2,RHMA,16.5
BB2,RHMA,23.1
BB2,RHMA,31.1
BB2,RHMA,16.2
BB2,RHMA,34.1
BB2,RHMA,33.5
BB2,RHMA,46.7
BB2,RHMA,31.4
BB2,RHMA,22.4
BB2,RHMA,31.5
BB2,RHMA,48.4
BB2,RHMA,28.7
BB2,RHMA,44.2
BB2,RHMA,25.1
BB2,RHMA,33.2
BB2,RHMA,16.5
BB2,RHMA,24.1
BB2,RHMA,18.2
BB2,RHMA,16
BB2,RHMA,37.9
BB2,RHMA,36.2
BB2,RHMA,25.5
BB2,RHMA,47.1
BB2,RHMA,37.9
BB2,RHMA,37.5
BB2,RHMA,27.5
BB2,RHMA,25.9
BB2,RHMA,25.5
BB2,RHMA,27.5
BB2,RHMA,13.5
BB2,RHMA,29.1
BB2,RHMA,41.9
BB2,RHMA,29.5
BB2,RHMA,22.1
BB2,RHMA,20
BB2,RHMA,31.9
BB2,RHMA,25.8
BB2,RHMA,26.5
BB2,RHMA,45.6
BB2,RHMA,28.1
BB2,RHMA,45.1
BB2,RHMA,16
BB2,RHMA,23.1
BB2,RHMA,24.5
BB2,RHMA,23.1
BB2,RHMA,27.5
BB2,RHMA,28.2
BB2,RHMA,37.1
BB2,RHMA,29.9
BB2,RHMA,35.5
BB2,RHMA,39.5
BB2,RHMA,28
BB2,RHMA,27.3
BB2,RHMA,49.2
BB2,RHMA,36.5
BB2,RHMA,27
BB2,RHMA,41.5
BB2,RHMA,40.1
BB2,RHMA,22
BB2,RHMA,47.5
BB2,RHMA,45.4
BB2,RHMA,36.5
BB2,RHMA,33.2
BB2,RHMA,48.9
BB2,RHMA,41
BB2,RHMA,44.7
BB2,RHMA,48.5
BB2,RHMA,41.5
BB2,RHMA,31.5
BB2,RHMA,20
BB2,RHMA,22.5
BB2,RHMA,39.5
BB2,RHMA,33.1
BB2,RHMA,31.5
BB2,RHMA,38.2
BB2,RHMA,22
BB2,RHMA,47
BB2,RHMA,31.4
BB2,RHMA,49.5
BB2,RHMA,44.8
BB2,RHMA,46.2
BB2,RHMA,35
BB2,LARA,10.5
BB2,LARA,5.7
BB2,LARA,7.8
BB2,LARA,6.5
BB3,RHMA,43.5
BB3,RHMA,46.2
BB3,RHMA,24.1
BB3,RHMA,26.7
BB3,RHMA,39
BB3,RHMA,44
BB3,RHMA,26.5
BB3,RHMA,43.1
BB3,RHMA,47.8
BB3,RHMA,41.2
BB3,RHMA,46.3
BB3,RHMA,30.2
BB3,RHMA,23.1
BB3,RHMA,28.2
BB3,RHMA,25.1
BB3,RHMA,25.2
BB3,RHMA,26
BB3,RHMA,23.1
BB3,RHMA,16.4
BB3,RHMA,11.5
BB3,RHMA,22.1
BB3,RHMA,42.8
BB3,RHMA,18.5
BB3,RHMA,21.4
BB3,RHMA,35.4
BB3,RHMA,29
BB3,RHMA,19.5
BB3,RHMA,21.1
BB3,RHMA,32.5
BB3,RHMA,45.2
BB3,RHMA,22.3
BB3,RHMA,14.5
BB3,RHMA,25.1
BB3,RHMA,36.9
BB3,RHMA,33.4
BB3,RHMA,35.3
BB3,RHMA,38
BB3,RHMA,23.4
BB3,RHMA,28.5
BB3,RHMA,24.8
BB3,RHMA,42.7
BB3,RHMA,35
BB3,RHMA,34.8
BB3,RHMA,32.3
BB3,RHMA,42.9
BB3,RHMA,48.7
BB3,RHMA,35
BB3,RHMA,4
BB3,RHMA,25.2
BB3,RHMA,17.5
BB3,RHMA,16.5
BB3,RHMA,33.8
BB3,RHMA,44.7
BB3,RHMA,43
BB3,RHMA,39.5
BB3,RHMA,17.5
BB3,RHMA,19.3
BB3,RHMA,16.5
BB3,RHMA,24.3
BB3,RHMA,22.1
BB3,RHMA,14
BB4,RHMA,34.6
BB4,RHMA,30.2
BB4,RHMA,45.2
BB4,RHMA,30.4
BB4,RHMA,29.8
BB4,RHMA,33.1
BB4,RHMA,30.4
BB4,RHMA,28.2
BB4,RHMA,44.3
BB4,RHMA,22.1
BB4,RHMA,13.1
BB4,RHMA,17.5
BB4,RHMA,31.2
BB4,RHMA,29.5
BB4,RHMA,46.3
BB4,RHMA,21.1
BB4,RHMA,20.2
BB4,RHMA,41.8
BB4,RHMA,30.4
BB4,RHMA,33.2
BB4,RHMA,46.1
BB4,RHMA,34
BB4,RHMA,42.5
BB4,RHMA,45.8
BB4,RHMA,33.2
BB4,RHMA,36.5
BB4,RHMA,38.8
BB4,RHMA,45
BB4,RHMA,43.8
BB4,RHMA,41
BB4,RHMA,40.5
BB4,RHMA,34.5
BB4,RHMA,46.2
BB4,RHMA,47.8
BB4,LARA,47.5
BB4,LARA,13.2
BB4,LARA,32.4
BB4,LARA,30.5
BB4,LARA,35.1
BB4,LARA,20.2
BB4,LARA,17.5
BB4,LARA,15.1
BB4,RHMA,48
BB4,RHMA,46
BB4,RHMA,46
BB4,RHMA,40.7
BB4,RHMA,39
BB4,RHMA,44.5
BB4,RHMA,46
BB4,RHMA,18.4
BB4,RHMA,43.1
BB4,RHMA,34.6
BB4,RHMA,19.4
BB4,RHMA,40.2
BB4,RHMA,39
BB4,RHMA,32.2
BB4,RHMA,39.4
BB4,RHMA,47
BB4,RHMA,30.4
BB4,RHMA,30.5
BB4,RHMA,27.7
BB4,RHMA,41.5
BB4,RHMA,38.9
BB4,RHMA,48.9
BB4,RHMA,43.8
BB4,RHMA,39.8
BB4,RHMA,26.9
BB4,RHMA,47.7
BB4,RHMA,44.2
BB4,RHMA,33
BB4,RHMA,39
BB4,RHMA,40
BB4,RHMA,42.2
BB4,RHMA,28.2
BB4,RHMA,29.9
BB4,RHMA,44.4
BB4,RHMA,41.8
BB4,RHMA,41.2
BB4,RHMA,36
BB4,RHMA,35
BB4,RHMA,29.1
BB4,RHMA,45.7
BB4,RHMA,39.5
BB4,RHMA,39.9
BB4,RHMA,31.2
BB4,RHMA,33.8
BB4,RHMA,32.1
BB4,RHMA,29
BB4,RHMA,38.2
BB4,RHMA,35.5
BB4,RHMA,29
BB4,RHMA,35.5
BB4,RHMA,39.5
BB4,RHMA,35.9
BB4,RHMA,18.9
BB4,LARA,47
BB4,LARA,40
BB4,LARA,40.1
BB4,LARA,45.8
BB4,LARA,48
BB4,LARA,45
BB4,LARA,42.5
BB4,LARA,27
BB4,LARA,37.5
BB4,LARA,41.2
BB4,LARA,27.6
BB5 REAL,RHMA,45.7
BB5 REAL,RHMA,35.4
BB5 REAL,RHMA,48
BB6 REAL,RHMA,31.1
